Ziekte,Beschrijving,Behandeling
"Selfie-syndroom,"Oncontroleerbare drang om elke seconde van je leven te documenteren met zelfportretten.","Dagelijkse dosis zelfreflectie en een unplug-dag zonder smartphone."
"Hashtag-hysterie,"Overmatig gebruik van hashtags in dagelijkse gesprekken, zelfs als ze niet nodig zijn.","Hashtag-analyse-therapie, waarbij patiënten leren de juiste hashtags te kiezen voor hun berichten."
"Like-koorts,"Obsessie met het verzamelen van likes, waarbij de kwaliteit van de content er niet meer toe doet.","Like-detox, waarbij patiënten zich concentreren op het creëren van inhoud zonder zich zorgen te maken over likes."
"Emoji-overdosis","Het gebruik van emoji's als voornaamste vorm van communicatie, met een bijwerking van misinterpretatie.","Emojiverminderingstherapie, met geleidelijke afname van het gebruik van emoji's in communicatie."
"FOMO-fobie, "Overweldigende angst om iets te missen op social media, wat leidt tot constant checken van feeds.","FOMO-vrije weekenden, waar patiënten worden aangemoedigd om offline te gaan en van het moment te genieten."
"Filterfreakisme, "Extreme afhankelijkheid van filters om een onrealistisch beeld van zichzelf te creëren.","Real-life make-up remover, om patiënten te helpen hun echte zelf te omarmen zonder digitale filters."
"Comment-conspiracy, "Het geloof dat elke comment op social media een diepere betekenis heeft, zelfs als het gewoon een emoji is.","Comment-clarity-counseling, waarbij patiënten leren dat niet elke reactie een diepere betekenis heeft."
"Tweet-tic, "Onvrijwillige, impulsieve tweets zonder enige vorm van overweging of filter."," Denk-voor-je-tweet-therapie, om impulsieve tweets te verminderen door bewuste overwegingen."
"Cyber-clownsyndroom","Het plaatsen van inhoud puur om aandacht te trekken, zonder rekening te houden met de gevolgen.","Reality-check-cursus, zodat patiënten erkennen dat echte aandacht verder gaat dan virtuele likes."
"Follow-failitus","Depressieve gevoelens veroorzaakt door het verliezen van volgers op social media.","Follow-acceptance-therapie, gericht op het begrijpen dat niet elke unfollow persoonlijk is en dat kwaliteit boven kwantiteit gaat."
"Plotselinge Unfriend-verlamming","Een onverklaarbare angst om mensen online te ontvrienden, zelfs als ze alleen maar ruis toevoegen.","Vriend-vrijheid workshops om patiënten te helpen los te laten en gezonde online relaties te onderhouden."
"Snackable-content-syndroom","Onvermogen om langere stukken tekst te lezen, waarbij alleen korte en hapklare content wordt geconsumeerd.","Boek-lees-bootcamp, ontworpen om het vermogen om langere stukken tekst te lezen en waarderen te herstellen."
"Share-schizofrenie","Het delen van zoveel content dat het lijkt alsof er meerdere persoonlijkheden achter het profiel schuilen.","Identiteitsintegriteitscoaching om een consistente online persoonlijkheid te ontwikkelen."
"Mememanie","Dwangmatig gebruik van memes om elk gesprek te illustreren, ongeacht de ernst van het onderwerp.","Memetherapie-groepssessies om alternatieve communicatiemethoden te ontwikkelen."
"Check-in-obsessie","Het constante inchecken op allerlei locaties, zelfs als het om de eigen woonkamer gaat.","Reality-check-ins waarbij patiënten leren hun aanwezigheid offline te waarderen zonder constante digitale bevestiging."
"Bio-oversharing","Het onthullen van te persoonlijke informatie in social media-biografieën, waardoor het lijkt alsof het een dagboek is.","Online privacy-rehabilitatie om patiënten bewust te maken van wat wel en niet in een bio thuishoort."
"Avatar-verwarring","Het geloven dat de online avatar daadwerkelijk de persoonlijkheid van de gebruiker weerspiegelt.","Virtuele identiteitssessies om een onderscheid te maken tussen online avatars en echte persoonlijkheden."
"Follow-back-angst","De vrees om mensen niet terug te volgen en daardoor mogelijk "sociale media-oorlogen" te ontketenen.","Follow-back exposure-therapie om de angst voor niet terugvolgen te verminderen en het belang van kwalitatieve connecties te begrijpen."
"Cliché-crisis","Een overweldigende drang om clichématige uitspraken en quotes te delen, ongeacht hun relevantie.","Creativiteitsstimulatie door middel van cliché-detox om originele expressie aan te moedigen."
"Emoji-ontwijkingsstoornis","Vermijden van directe communicatie door middel van tekst en uitsluitend gebruik van emoji's om gevoelens uit te drukken.","Emoticon-emancipatieprogramma om patiënten te helpen emoties te uiten met woorden in plaats van enkel emoji's."